timestamp,data
2024-04-27 17:17:33.398040,"{'face': {'warning': 'No faces detected.', 'code': 'W0103'}}"
2024-04-27 17:17:35.012208,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 408.0302734375, 'y': 341.7689514160156, 'w': 241.75579833984375, 'h': 308.9881286621094}, 'prob': 0.9999964237213135, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.1517539769411087}, {'name': 'Adoration', 'score': 0.10559748858213425}, {'name': 'Aesthetic Appreciation', 'score': 0.09378474950790405}, {'name': 'Amusement', 'score': 0.2027531862258911}, {'name': 'Anger', 'score': 0.03263143077492714}, {'name': 'Anxiety', 'score': 0.12206240743398666}, {'name': 'Awe', 'score': 0.1738891452550888}, {'name': 'Awkwardness', 'score': 0.17162945866584778}, {'name': 'Boredom', 'score': 0.28448036313056946}, {'name': 'Calmness', 'score': 0.26614490151405334}, {'name': 'Concentration', 'score': 0.5020623207092285}, {'name': 'Contemplation', 'score': 0.3627653419971466}, {'name': 'Confusion', 'score': 0.4588291347026825}, {'name': 'Contempt', 'score': 0.10326456278562546}, {'name': 'Contentment', 'score': 0.0978580191731453}, {'name': 'Craving', 'score': 0.14680667221546173}, {'name': 'Determination', 'score': 0.12766613066196442}, {'name': 'Disappointment', 'score': 0.1440114676952362}, {'name': 'Disgust', 'score': 0.04481705650687218}, {'name': 'Distress', 'score': 0.12348220497369766}, {'name': 'Doubt', 'score': 0.34653738141059875}, {'name': 'Ecstasy', 'score': 0.05796727165579796}, {'name': 'Embarrassment', 'score': 0.0613991916179657}, {'name': 'Empathic Pain', 'score': 0.04144221171736717}, {'name': 'Entrancement', 'score': 0.18437618017196655}, {'name': 'Envy', 'score': 0.04248060658574104}, {'name': 'Excitement', 'score': 0.12350119650363922}, {'name': 'Fear', 'score': 0.08744517713785172}, {'name': 'Guilt', 'score': 0.04706200957298279}, {'name': 'Horror', 'score': 0.04480299726128578}, {'name': 'Interest', 'score': 0.4884204864501953}, {'name': 'Joy', 'score': 0.10557781904935837}, {'name': 'Love', 'score': 0.11386261135339737}, {'name': 'Nostalgia', 'score': 0.059947218745946884}, {'name': 'Pain', 'score': 0.0500686913728714}, {'name': 'Pride', 'score': 0.05389956757426262}, {'name': 'Realization', 'score': 0.22230131924152374}, {'name': 'Relief', 'score': 0.07011053711175919}, {'name': 'Romance', 'score': 0.08703432977199554}, {'name': 'Sadness', 'score': 0.07683742046356201}, {'name': 'Satisfaction', 'score': 0.1481340229511261}, {'name': 'Desire', 'score': 0.241427943110466}, {'name': 'Shame', 'score': 0.03808540850877762}, {'name': 'Surprise (negative)', 'score': 0.06467635184526443}, {'name': 'Surprise (positive)', 'score': 0.07867014408111572}, {'name': 'Sympathy', 'score': 0.04544955492019653}, {'name': 'Tiredness', 'score': 0.14210878312587738}, {'name': 'Triumph', 'score': 0.037521250545978546}]}]}}"
2024-04-27 17:17:36.743603,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 429.4831848144531, 'y': 339.35626220703125, 'w': 232.67532348632812, 'h': 293.03533935546875}, 'prob': 0.9999992847442627, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.17771533131599426}, {'name': 'Adoration', 'score': 0.1443883329629898}, {'name': 'Aesthetic Appreciation', 'score': 0.09877288341522217}, {'name': 'Amusement', 'score': 0.2793130576610565}, {'name': 'Anger', 'score': 0.05448203906416893}, {'name': 'Anxiety', 'score': 0.11237873136997223}, {'name': 'Awe', 'score': 0.16186819970607758}, {'name': 'Awkwardness', 'score': 0.2080749273300171}, {'name': 'Boredom', 'score': 0.2811581790447235}, {'name': 'Calmness', 'score': 0.422663152217865}, {'name': 'Concentration', 'score': 0.3862091600894928}, {'name': 'Contemplation', 'score': 0.19804684817790985}, {'name': 'Confusion', 'score': 0.3834995925426483}, {'name': 'Contempt', 'score': 0.14846612513065338}, {'name': 'Contentment', 'score': 0.18419894576072693}, {'name': 'Craving', 'score': 0.07021962851285934}, {'name': 'Determination', 'score': 0.11257416009902954}, {'name': 'Disappointment', 'score': 0.19647052884101868}, {'name': 'Disgust', 'score': 0.0701882541179657}, {'name': 'Distress', 'score': 0.13556961715221405}, {'name': 'Doubt', 'score': 0.282140851020813}, {'name': 'Ecstasy', 'score': 0.06515811383724213}, {'name': 'Embarrassment', 'score': 0.08412200212478638}, {'name': 'Empathic Pain', 'score': 0.0611187145113945}, {'name': 'Entrancement', 'score': 0.15737417340278625}, {'name': 'Envy', 'score': 0.04816262051463127}, {'name': 'Excitement', 'score': 0.15399105846881866}, {'name': 'Fear', 'score': 0.08774715662002563}, {'name': 'Guilt', 'score': 0.05367594212293625}, {'name': 'Horror', 'score': 0.04738368093967438}, {'name': 'Interest', 'score': 0.4359450936317444}, {'name': 'Joy', 'score': 0.21788513660430908}, {'name': 'Love', 'score': 0.1807081550359726}, {'name': 'Nostalgia', 'score': 0.07624754309654236}, {'name': 'Pain', 'score': 0.07752915471792221}, {'name': 'Pride', 'score': 0.09324976056814194}, {'name': 'Realization', 'score': 0.19340229034423828}, {'name': 'Relief', 'score': 0.11953293532133102}, {'name': 'Romance', 'score': 0.0731835663318634}, {'name': 'Sadness', 'score': 0.12054406851530075}, {'name': 'Satisfaction', 'score': 0.2124614715576172}, {'name': 'Desire', 'score': 0.09689406305551529}, {'name': 'Shame', 'score': 0.048977941274642944}, {'name': 'Surprise (negative)', 'score': 0.07056538015604019}, {'name': 'Surprise (positive)', 'score': 0.08782031387090683}, {'name': 'Sympathy', 'score': 0.066905178129673}, {'name': 'Tiredness', 'score': 0.1815987229347229}, {'name': 'Triumph', 'score': 0.05560861900448799}]}]}}"
2024-04-27 17:17:38.606034,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 436.2469787597656, 'y': 346.6361999511719, 'w': 223.27230834960938, 'h': 278.3515319824219}, 'prob': 0.9999964237213135, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.18081581592559814}, {'name': 'Adoration', 'score': 0.1263388693332672}, {'name': 'Aesthetic Appreciation', 'score': 0.09823988378047943}, {'name': 'Amusement', 'score': 0.22284357249736786}, {'name': 'Anger', 'score': 0.06069239228963852}, {'name': 'Anxiety', 'score': 0.13104447722434998}, {'name': 'Awe', 'score': 0.21984456479549408}, {'name': 'Awkwardness', 'score': 0.21082451939582825}, {'name': 'Boredom', 'score': 0.2972102463245392}, {'name': 'Calmness', 'score': 0.41060662269592285}, {'name': 'Concentration', 'score': 0.421613872051239}, {'name': 'Contemplation', 'score': 0.22601307928562164}, {'name': 'Confusion', 'score': 0.3931701183319092}, {'name': 'Contempt', 'score': 0.1510000079870224}, {'name': 'Contentment', 'score': 0.15596331655979156}, {'name': 'Craving', 'score': 0.07468437403440475}, {'name': 'Determination', 'score': 0.12455660849809647}, {'name': 'Disappointment', 'score': 0.211503267288208}, {'name': 'Disgust', 'score': 0.06740867346525192}, {'name': 'Distress', 'score': 0.14556938409805298}, {'name': 'Doubt', 'score': 0.3064728379249573}, {'name': 'Ecstasy', 'score': 0.056414324790239334}, {'name': 'Embarrassment', 'score': 0.08635010570287704}, {'name': 'Empathic Pain', 'score': 0.06259505450725555}, {'name': 'Entrancement', 'score': 0.17252308130264282}, {'name': 'Envy', 'score': 0.05265089124441147}, {'name': 'Excitement', 'score': 0.13251784443855286}, {'name': 'Fear', 'score': 0.12794075906276703}, {'name': 'Guilt', 'score': 0.0596793033182621}, {'name': 'Horror', 'score': 0.07062787562608719}, {'name': 'Interest', 'score': 0.4097214937210083}, {'name': 'Joy', 'score': 0.1549077033996582}, {'name': 'Love', 'score': 0.134310781955719}, {'name': 'Nostalgia', 'score': 0.0774359405040741}, {'name': 'Pain', 'score': 0.07245732098817825}, {'name': 'Pride', 'score': 0.08814982324838638}, {'name': 'Realization', 'score': 0.22053219377994537}, {'name': 'Relief', 'score': 0.10352637618780136}, {'name': 'Romance', 'score': 0.06074189394712448}, {'name': 'Sadness', 'score': 0.1252714991569519}, {'name': 'Satisfaction', 'score': 0.1676492840051651}, {'name': 'Desire', 'score': 0.0789586678147316}, {'name': 'Shame', 'score': 0.050118859857320786}, {'name': 'Surprise (negative)', 'score': 0.09972996264696121}, {'name': 'Surprise (positive)', 'score': 0.1164492517709732}, {'name': 'Sympathy', 'score': 0.06369861960411072}, {'name': 'Tiredness', 'score': 0.17214305698871613}, {'name': 'Triumph', 'score': 0.05195651948451996}]}]}}"
2024-04-27 17:17:40.443339,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 317.0967712402344, 'y': 319.81768798828125, 'w': 257.9423522949219, 'h': 307.724365234375}, 'prob': 0.9999688863754272, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.16621199250221252}, {'name': 'Adoration', 'score': 0.13383668661117554}, {'name': 'Aesthetic Appreciation', 'score': 0.10007218271493912}, {'name': 'Amusement', 'score': 0.22362972795963287}, {'name': 'Anger', 'score': 0.03118564747273922}, {'name': 'Anxiety', 'score': 0.12116187810897827}, {'name': 'Awe', 'score': 0.14487597346305847}, {'name': 'Awkwardness', 'score': 0.1560821682214737}, {'name': 'Boredom', 'score': 0.2728554308414459}, {'name': 'Calmness', 'score': 0.2808983623981476}, {'name': 'Concentration', 'score': 0.42983368039131165}, {'name': 'Contemplation', 'score': 0.3556295335292816}, {'name': 'Confusion', 'score': 0.4451754689216614}, {'name': 'Contempt', 'score': 0.10722416639328003}, {'name': 'Contentment', 'score': 0.1279432475566864}, {'name': 'Craving', 'score': 0.12402542680501938}, {'name': 'Determination', 'score': 0.11085976660251617}, {'name': 'Disappointment', 'score': 0.14593036472797394}, {'name': 'Disgust', 'score': 0.04473702609539032}, {'name': 'Distress', 'score': 0.13661298155784607}, {'name': 'Doubt', 'score': 0.3137047588825226}, {'name': 'Ecstasy', 'score': 0.0735921859741211}, {'name': 'Embarrassment', 'score': 0.05618912726640701}, {'name': 'Empathic Pain', 'score': 0.04436583071947098}, {'name': 'Entrancement', 'score': 0.17616598308086395}, {'name': 'Envy', 'score': 0.03854751959443092}, {'name': 'Excitement', 'score': 0.12948475778102875}, {'name': 'Fear', 'score': 0.07945579290390015}, {'name': 'Guilt', 'score': 0.044020719826221466}, {'name': 'Horror', 'score': 0.03668560832738876}, {'name': 'Interest', 'score': 0.43451988697052}, {'name': 'Joy', 'score': 0.15575917065143585}, {'name': 'Love', 'score': 0.15400530397891998}, {'name': 'Nostalgia', 'score': 0.07222330570220947}, {'name': 'Pain', 'score': 0.06684242188930511}, {'name': 'Pride', 'score': 0.06762764602899551}, {'name': 'Realization', 'score': 0.21058863401412964}, {'name': 'Relief', 'score': 0.10227040201425552}, {'name': 'Romance', 'score': 0.0999758318066597}, {'name': 'Sadness', 'score': 0.08525202423334122}, {'name': 'Satisfaction', 'score': 0.20818448066711426}, {'name': 'Desire', 'score': 0.2496500164270401}, {'name': 'Shame', 'score': 0.037055857479572296}, {'name': 'Surprise (negative)', 'score': 0.04495806619524956}, {'name': 'Surprise (positive)', 'score': 0.04710359498858452}, {'name': 'Sympathy', 'score': 0.04458632320165634}, {'name': 'Tiredness', 'score': 0.16264812648296356}, {'name': 'Triumph', 'score': 0.04716968163847923}]}]}}"
2024-04-27 17:17:42.275806,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 486.7787170410156, 'y': 381.81573486328125, 'w': 168.20352172851562, 'h': 198.97216796875}, 'prob': 0.9979992508888245, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.18105821311473846}, {'name': 'Adoration', 'score': 0.13251176476478577}, {'name': 'Aesthetic Appreciation', 'score': 0.08008747547864914}, {'name': 'Amusement', 'score': 0.3189316689968109}, {'name': 'Anger', 'score': 0.08205722272396088}, {'name': 'Anxiety', 'score': 0.12107998877763748}, {'name': 'Awe', 'score': 0.33670735359191895}, {'name': 'Awkwardness', 'score': 0.1369553655385971}, {'name': 'Boredom', 'score': 0.13917933404445648}, {'name': 'Calmness', 'score': 0.15757590532302856}, {'name': 'Concentration', 'score': 0.1970330774784088}, {'name': 'Contemplation', 'score': 0.1334681212902069}, {'name': 'Confusion', 'score': 0.26439449191093445}, {'name': 'Contempt', 'score': 0.09373732656240463}, {'name': 'Contentment', 'score': 0.11843450367450714}, {'name': 'Craving', 'score': 0.07997605949640274}, {'name': 'Determination', 'score': 0.1076962798833847}, {'name': 'Disappointment', 'score': 0.13779504597187042}, {'name': 'Disgust', 'score': 0.05224959924817085}, {'name': 'Distress', 'score': 0.16327542066574097}, {'name': 'Doubt', 'score': 0.16508229076862335}, {'name': 'Ecstasy', 'score': 0.16272442042827606}, {'name': 'Embarrassment', 'score': 0.0604880228638649}, {'name': 'Empathic Pain', 'score': 0.057431139051914215}, {'name': 'Entrancement', 'score': 0.1464511603116989}, {'name': 'Envy', 'score': 0.03716447576880455}, {'name': 'Excitement', 'score': 0.29978030920028687}, {'name': 'Fear', 'score': 0.19604817032814026}, {'name': 'Guilt', 'score': 0.03893454000353813}, {'name': 'Horror', 'score': 0.13605983555316925}, {'name': 'Interest', 'score': 0.29201048612594604}, {'name': 'Joy', 'score': 0.2525743246078491}, {'name': 'Love', 'score': 0.1459803581237793}, {'name': 'Nostalgia', 'score': 0.0675124004483223}, {'name': 'Pain', 'score': 0.11968261003494263}, {'name': 'Pride', 'score': 0.11076273024082184}, {'name': 'Realization', 'score': 0.22651724517345428}, {'name': 'Relief', 'score': 0.12647265195846558}, {'name': 'Romance', 'score': 0.054659102112054825}, {'name': 'Sadness', 'score': 0.09363275021314621}, {'name': 'Satisfaction', 'score': 0.22240065038204193}, {'name': 'Desire', 'score': 0.10361182689666748}, {'name': 'Shame', 'score': 0.031057916581630707}, {'name': 'Surprise (negative)', 'score': 0.12371844053268433}, {'name': 'Surprise (positive)', 'score': 0.14951182901859283}, {'name': 'Sympathy', 'score': 0.036261532455682755}, {'name': 'Tiredness', 'score': 0.11572238802909851}, {'name': 'Triumph', 'score': 0.13608622550964355}]}]}}"
2024-04-27 17:17:44.042384,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 481.9876708984375, 'y': 355.7071228027344, 'w': 193.5888671875, 'h': 248.72970581054688}, 'prob': 0.9999624490737915, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.2610458731651306}, {'name': 'Adoration', 'score': 0.18770965933799744}, {'name': 'Aesthetic Appreciation', 'score': 0.11388558149337769}, {'name': 'Amusement', 'score': 0.273073673248291}, {'name': 'Anger', 'score': 0.05679582804441452}, {'name': 'Anxiety', 'score': 0.10307743400335312}, {'name': 'Awe', 'score': 0.33536961674690247}, {'name': 'Awkwardness', 'score': 0.15008336305618286}, {'name': 'Boredom', 'score': 0.16956248879432678}, {'name': 'Calmness', 'score': 0.27428093552589417}, {'name': 'Concentration', 'score': 0.3376387059688568}, {'name': 'Contemplation', 'score': 0.22684213519096375}, {'name': 'Confusion', 'score': 0.3329634666442871}, {'name': 'Contempt', 'score': 0.11650963872671127}, {'name': 'Contentment', 'score': 0.147686168551445}, {'name': 'Craving', 'score': 0.07675698399543762}, {'name': 'Determination', 'score': 0.11902055144309998}, {'name': 'Disappointment', 'score': 0.14594684541225433}, {'name': 'Disgust', 'score': 0.05018606409430504}, {'name': 'Distress', 'score': 0.12310810387134552}, {'name': 'Doubt', 'score': 0.23740974068641663}, {'name': 'Ecstasy', 'score': 0.08564458787441254}, {'name': 'Embarrassment', 'score': 0.06395141780376434}, {'name': 'Empathic Pain', 'score': 0.04841114953160286}, {'name': 'Entrancement', 'score': 0.19511745870113373}, {'name': 'Envy', 'score': 0.05006391182541847}, {'name': 'Excitement', 'score': 0.1950000375509262}, {'name': 'Fear', 'score': 0.1258573830127716}, {'name': 'Guilt', 'score': 0.04259517788887024}, {'name': 'Horror', 'score': 0.07188073545694351}, {'name': 'Interest', 'score': 0.42080819606781006}, {'name': 'Joy', 'score': 0.21253277361392975}, {'name': 'Love', 'score': 0.17841391265392303}, {'name': 'Nostalgia', 'score': 0.0857950821518898}, {'name': 'Pain', 'score': 0.06806819885969162}, {'name': 'Pride', 'score': 0.10598523914813995}, {'name': 'Realization', 'score': 0.2569112479686737}, {'name': 'Relief', 'score': 0.11474014818668365}, {'name': 'Romance', 'score': 0.0708119124174118}, {'name': 'Sadness', 'score': 0.0870598703622818}, {'name': 'Satisfaction', 'score': 0.19391950964927673}, {'name': 'Desire', 'score': 0.08175460249185562}, {'name': 'Shame', 'score': 0.03519106283783913}, {'name': 'Surprise (negative)', 'score': 0.08711237460374832}, {'name': 'Surprise (positive)', 'score': 0.12702862918376923}, {'name': 'Sympathy', 'score': 0.04765301197767258}, {'name': 'Tiredness', 'score': 0.1109265685081482}, {'name': 'Triumph', 'score': 0.08090882003307343}]}]}}"
2024-04-27 17:17:45.841907,"{'face': {'predictions': [{'frame': 0, 'time': None, 'bbox': {'x': 488.8106384277344, 'y': 377.08349609375, 'w': 187.44876098632812, 'h': 229.50250244140625}, 'prob': 0.9999982118606567, 'face_id': 'face_0', 'emotions': [{'name': 'Admiration', 'score': 0.2411016821861267}, {'name': 'Adoration', 'score': 0.167665496468544}, {'name': 'Aesthetic Appreciation', 'score': 0.11392943561077118}, {'name': 'Amusement', 'score': 0.21899351477622986}, {'name': 'Anger', 'score': 0.05486849695444107}, {'name': 'Anxiety', 'score': 0.10750064253807068}, {'name': 'Awe', 'score': 0.302279531955719}, {'name': 'Awkwardness', 'score': 0.14198294281959534}, {'name': 'Boredom', 'score': 0.19189606606960297}, {'name': 'Calmness', 'score': 0.308826744556427}, {'name': 'Concentration', 'score': 0.37387654185295105}, {'name': 'Contemplation', 'score': 0.25858575105667114}, {'name': 'Confusion', 'score': 0.33995065093040466}, {'name': 'Contempt', 'score': 0.12155480682849884}, {'name': 'Contentment', 'score': 0.14343364536762238}, {'name': 'Craving', 'score': 0.083152174949646}, {'name': 'Determination', 'score': 0.12874220311641693}, {'name': 'Disappointment', 'score': 0.15877562761306763}, {'name': 'Disgust', 'score': 0.04675254598259926}, {'name': 'Distress', 'score': 0.1287950873374939}, {'name': 'Doubt', 'score': 0.25405552983283997}, {'name': 'Ecstasy', 'score': 0.07847234606742859}, {'name': 'Embarrassment', 'score': 0.06122341752052307}, {'name': 'Empathic Pain', 'score': 0.04819217696785927}, {'name': 'Entrancement', 'score': 0.2087344080209732}, {'name': 'Envy', 'score': 0.04916083812713623}, {'name': 'Excitement', 'score': 0.1529989242553711}, {'name': 'Fear', 'score': 0.11585099995136261}, {'name': 'Guilt', 'score': 0.04565039649605751}, {'name': 'Horror', 'score': 0.06079265475273132}, {'name': 'Interest', 'score': 0.3979901075363159}, {'name': 'Joy', 'score': 0.1614958792924881}, {'name': 'Love', 'score': 0.1584140807390213}, {'name': 'Nostalgia', 'score': 0.08773476630449295}, {'name': 'Pain', 'score': 0.06770375370979309}, {'name': 'Pride', 'score': 0.10066637396812439}, {'name': 'Realization', 'score': 0.27011340856552124}, {'name': 'Relief', 'score': 0.1282552033662796}, {'name': 'Romance', 'score': 0.07324284315109253}, {'name': 'Sadness', 'score': 0.08975017070770264}, {'name': 'Satisfaction', 'score': 0.1891942322254181}, {'name': 'Desire', 'score': 0.09808363765478134}, {'name': 'Shame', 'score': 0.036759428679943085}, {'name': 'Surprise (negative)', 'score': 0.07656537741422653}, {'name': 'Surprise (positive)', 'score': 0.10482881963253021}, {'name': 'Sympathy', 'score': 0.04504931718111038}, {'name': 'Tiredness', 'score': 0.13544292747974396}, {'name': 'Triumph', 'score': 0.07311420142650604}]}]}}"
